Predictions,smiles,drugbank_id
0.8215747,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,DB00205
0.0065193265,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,DB00208
0.253369,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,DB00209
0.042419013,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,DB00211
0.5979811,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,DB00213
0.02269827,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,DB00214
0.008719735,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,DB00215
0.012886685,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,DB00216
0.020447336,CN\\C(NCC1=CC=CC=C1)=N/C,DB00217
0.010251568,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,DB00218
0.21988386,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB00219
0.20155838,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,DB00221
0.0039814757,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,DB00222
0.0069968416,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,DB00223
0.003862437,NC(N)=NCC1COC2(CCCCC2)O1,DB00226
0.0323028,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,DB00227
0.040988922,FC(F)OC(F)(F)C(F)Cl,DB00228
0.0053403703,CC(C)C[C@H](CN)CC(O)=O,DB00230
0.08903287,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,DB00231
0.0056433347,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,DB00232
0.95308846,NC1=CC(O)=C(C=C1)C(O)=O,DB00233
0.0032586837,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,DB00234
0.9714806,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,DB00235
0.020625087,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,DB00236
0.0038289682,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00237
0.8946113,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,DB00238
0.0062633636,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,DB00240
0.006766622,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,DB00241
0.4268214,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,DB00242
0.0071834214,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,DB00243
0.95727944,NC1=CC(C(O)=O)=C(O)C=C1,DB00244
0.00452636,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,DB00245
0.33875203,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,DB00246
0.017223889,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,DB00247
0.009168834,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,DB00248
0.022225631,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,DB00249
0.09091195,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,DB00250
0.14772889,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00252
